,,,,,,,
Theme: Trade & Investment,,,,,,,
Subject: Trade in Services (TIS),,,,,,,
Topic: Import of Services,,,,,,,
"Table Title: Imports Of Services By Industry And Services Category, Annual",,,,,,,
,,,,,,,
Data last updated: 31/07/2025,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,
,,,,,,,
,,,,,,,Million Dollars
  Financial,17589.3,13940.2,12863.2,11751.6,8495.4,7658.6,6756.7
"  Telecommunications, Computer & Information",5139.3,3990.8,4034.7,3312.8,2621.6,2340.9,2090
  Charges For The Use Of Intellectual Property,475.8,328.6,253.5,592.6,686.2,na,na
  Personal Cultural & Recreational Services,94,82.6,42,48.4,19.5,17.9,17.7
  Trade-Related,na,na,na,8.1,na,na,na
  Business Management,12617.9,10303.4,9454.9,7382.5,6252.3,5368.5,4818.6
  Other Services,3713.2,3361.1,3363.7,2908.3,2076.1,2299.9,1838.5
Professional Services,17937.6,15454.6,12822.2,11126.4,10789.9,9505.4,9612.7
  Manufacturing Services On Physical Inputs Owned By Others,na,-,-,-,-,-,-
  Maintenance & Repair Services,18,0.4,-,na,na,0.2,3.5
  Transport,127.1,na,71.2,44.7,58.4,44.4,27.4
  Insurance,19,13.8,12.9,11.9,9.8,10.9,10.2
  Construction,491.4,416.2,410.2,337,338.3,503.6,339.7
  Financial,80.7,41.4,53.9,20.5,32.1,29.2,7.9
"  Telecommunications, Computer & Information",3179.4,2995.7,na,na,na,na,na
  Charges For The Use Of Intellectual Property,308.7,237.6,593.1,161.3,297.7,190.9,173.5
  Personal Cultural & Recreational Services,na,na,na,na,na,na,na
  Trade-Related,81.8,72.5,75.9,211.4,170.9,82.5,98.2
  Business Management,6823.4,5348.6,3168.2,3090.8,2889.1,2212.3,1840.4
  Other Services,5861.6,5336.5,4530.2,3690.8,3364.7,2991.6,2451.8
Admin & Support Services,1360.2,1074.1,1068.9,1051.4,4343.5,9156.8,14184.7
  Manufacturing Services On Physical Inputs Owned By Others,na,na,-,-,-,-,-
  Maintenance & Repair Services,15.9,14.7,14.6,17.8,24.6,10.7,8
  Transport,79.1,67.4,60.5,72.8,86.9,111.2,135.8
  Insurance,13.9,11,10.5,9.6,na,15.2,na
  Construction,na,-,-,-,-,-,-
  Financial,26.6,25.7,17.3,16.4,9.1,11.2,7.2
"  Telecommunications, Computer & Information",49.7,na,19.4,14.2,17.6,117,na
  Charges For The Use Of Intellectual Property,212.7,193.6,161.8,159.5,472.1,942.9,897.4
  Personal Cultural & Recreational Services,68.3,28.6,15.6,38.7,46.3,35.8,25.1
  Trade-Related,na,na,4.5,6.6,10.2,65.9,287.1
  Business Management,435.4,422.4,536.9,509.3,411.3,744.1,871.3
  Other Services,445.2,270.8,227.9,206.5,na,7102.7,11821.3
Others,2026.5,1503.1,1074.2,1102.1,1362.2,1119.3,986.3
  Manufacturing Services On Physical Inputs Owned By Others,na,-,-,-,-,-,-
  Maintenance & Repair Services,na,na,na,-,-,na,na
  Transport,33.1,21.1,15.9,14.3,16.2,14.9,9.2
  Insurance,3.4,na,na,5.1,na,na,5.1
  Construction,na,-,-,na,-,-,-
  Financial,47.4,14.9,8.6,na,65.5,28.4,13.5
"  Telecommunications, Computer & Information",265.1,143.1,88.1,93.5,88.6,74.6,60.9
  Charges For The Use Of Intellectual Property,575.8,416.3,265.6,255.7,405.4,413.6,378.4
  Personal Cultural & Recreational Services,200.8,265.1,224.8,214.2,242.4,205.5,179
  Trade-Related,69.1,23.6,24.8,21.4,28.8,22.8,na
  Business Management,313.7,211.6,169.6,173.3,277.8,181.2,na
  Other Services,516.9,404.8,271.1,243.3,na,173.5,134.7
,,,,,,,
Definitions and Footnotes:,,,,,,,
Figures presented in this table are compiled from the International Trade in Services (TIS) Survey. Please refer to Technical Notes (https://www.singstat.gov.sg/-/media/files/find_data/trade-and-investment/notesinttrade.pdf) for more information on trade in services data sources and compilation methodology.,,,,,,,
Manufacturing (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Manufacturing = 10 to 32,,,,,,,
Manufacturing -> Other Services (Million Dollars):,,,,,,,
"Other Services consist of research and development services, professional services, technical services and other business services.",,,,,,,
Construction (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Construction = 40 to 43,,,,,,,
Construction -> Other Services (Million Dollars):,,,,,,,
"Other Services consist of research and development services, professional services, technical services and other business services.",,,,,,,
Wholesale Trade (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Wholesale Trade = 46,,,,,,,
Wholesale Trade -> Other Services (Million Dollars):,,,,,,,
"Other Services consist of research and development services, professional services, technical services and other business services.",,,,,,,
Transport & Storage Services (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Transport & Storage Services = 49 to 53,,,,,,,
Transport & Storage Services -> Other Services (Million Dollars):,,,,,,,
"Other Services consist of research and development services, professional services, technical services and other business services.",,,,,,,
Information & Communications Services (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Information & Communications Services= 58 to 63,,,,,,,
Information & Communications Services -> Other Services (Million Dollars):,,,,,,,
"Other Services consist of research and development services, professional services, technical services and other business services.",,,,,,,
Financial & Insurance Services (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Financial & Insurance Services = 64 to 66,,,,,,,
Financial & Insurance Services -> Other Services (Million Dollars):,,,,,,,
"Other Services consist of research and development services, professional services, technical services and other business services.",,,,,,,
Professional Services (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Professional Services = 69 to 75,,,,,,,
Professional Services -> Other Services (Million Dollars):,,,,,,,
"Other Services consist of research and development services, professional services, technical services and other business services.",,,,,,,
Admin & Support Services (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Admin & Support Services = 77 to 82,,,,,,,
Admin & Support Services -> Other Services (Million Dollars):,,,,,,,
"Other Services consist of research and development services, professional services, technical services and other business services.",,,,,,,
Others (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Others = All remaining SSICs,,,,,,,
Others -> Other Services (Million Dollars):,,,,,,,
"Other Services consist of research and development services, professional services, technical services and other business services.",,,,,,,
,,,,,,,
Imports of Services:,,,,,,,
"Consist of transactions where services are provided from overseas trading partners to Singapore. For example, an overseas law firm providing legal advice by phone or email to a Singapore-based company.",,,,,,,
,,,,,,,
Notation:,,,,,,,
na   not available or not applicable,,,,,,,
nec  not elsewhere classified,,,,,,,
nes  not elsewhere specified,,,,,,,
 -     nil or negligible or not significant,,,,,,,
Notes,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,
,,,,,,,
Generated by: SingStat Table Builder,,,,,,,
Date generated: 05/01/2026,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,
