,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Trade & Investment,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Trade in Services (TIS),,,,,,,,,,,,,,,,,,,,,,,,
Topic: Export of Services,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Exports Of Services By Major Trading Partner, Annual",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 13/03/2025,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
ASEAN,38115.7,40535.3,33435.2,27763.7,29219.1,25948.6,22140.8,19975.2,19387,17976.9,16331.3,15062.5,13529.8,12311.5,12048.6,11983.4,10513.1,9267,7978.4,7314.8,5686.7,5733.4,5243.5,4931.9
Europe,113300.9,98913.5,84850.1,65820.3,61401.1,62497.2,50492.7,46434,45485.6,39669.5,36808.6,31890.8,29668.6,26584.4,24937.2,26858.7,21653.3,16796.5,13420.1,12524.5,10042.7,8222.5,7142.4,6672.3
Belgium,1152.4,1256.4,1056.2,774.4,847.5,893.1,696.6,592.4,603.3,605.6,511.8,392.4,483.4,509.2,372.8,465.4,453.9,415,371,348.8,316.2,275.6,281.6,273.9
Cyprus,357.5,405.6,303.6,216.9,120.4,124,68.9,87.8,109.9,93.2,127.7,132.1,182.5,265,188.4,185.2,65.7,41.6,28.6,13.4,7.4,26,5.8,6.7
Denmark,3580.5,3421.8,2760.6,2587.5,2408.8,2361.5,1952,2079.8,1881.3,1632.9,1606.1,1534.8,1840.4,1964.6,2159.1,2324.6,1510.2,1307.6,1019.1,1058.9,1184.1,675.7,717.6,709.1
Finland,420.3,370.1,344.5,289.3,327.3,253.9,203,236.1,238.4,281.4,277.8,283.3,274.5,159.9,167.2,275.5,250.5,247.8,244.1,na,na,19.7,11.4,31.7
France,4057,3650.3,3131,3039.6,2875.2,2931.5,2478.8,2159.9,2206.1,1849.5,1674,1565,1329.7,1503.6,1069.5,1071.4,1239.5,883.1,680.6,642.7,787.6,617.5,484.9,442.7
Germany,6122.9,6772.7,5068.3,3500.5,5256.2,5014.7,3807.6,3807.4,3398.9,3963.5,3822.8,3470.7,3502.9,3227.9,2929.8,3194.1,3114,2442.6,2028.1,2001,1537.4,1526,1135.1,1123.9
Greece,384.9,395.7,342.8,370.5,443.6,364.7,248.3,168,636.9,776.9,684.2,494.9,567.2,592.6,592.5,641.8,164.5,152.4,129.3,127.5,119,111.5,166,67.6
Ireland,34161.6,22440.4,20456.3,13619.6,12669.5,15480.1,13299.1,12465.9,9996.5,4146,3682.3,3349.8,1767.1,479.1,517.9,453.8,393.4,371,333.2,235.4,201.2,114.2,59.6,68.2
Italy,764.3,916.2,478.6,394.4,918.8,930.5,994.4,718.4,704.9,750.7,692.4,679.7,570.6,516.5,406.3,472.9,330.8,276.7,259.4,220.1,213.8,122.5,110.2,120.5
Luxembourg,11986.4,9889.8,10361.9,8965.8,1129.6,1027.7,817.4,748.8,659.1,869.3,853.2,833.3,1088,731.5,508.8,697.8,671.6,458.3,203.3,187.6,59.9,38.5,45,59
Netherlands,5645.9,6612.3,5614,3909.3,4186.6,3915,3524.6,3065.1,3025,2993.2,2775.5,2435.9,2472.1,2536.8,2103.2,2569.6,1879.6,1248.3,1403.5,1289.6,1043.8,977.3,915,899.7
Norway,1573,1737.5,1875.1,1528,1789.2,1738.2,1603.1,1991.5,2556.8,2301.3,2064.9,1693.2,1506.1,1747.4,1925,1771.1,1394.5,1061.4,853.7,638.3,234.8,191.2,117.9,122.9
Portugal,495.2,215.3,191.5,104.1,93.3,85,67.9,72,72.1,61.5,72.5,312.2,116.4,76.3,88.6,81,61.8,41.2,26.5,18.6,14.6,42.8,6.1,4.9
Russian Federation,296,302.9,617.5,497.6,597.2,369.1,302.6,269.7,255.9,250.3,265.5,344.3,468.2,379.4,360.3,490.7,359.3,225.5,146.7,85.7,48.8,31.8,33.6,23.5
Spain,1192.9,1254.4,723.6,715.9,748.8,727.9,407,378.9,441.3,262.6,202,231.3,233.5,220.5,186.2,366.2,195.8,130.2,73.7,83.6,74.1,88.5,70.2,78.9
Sweden,871.5,602.2,503.6,375.9,460.9,451.4,396.9,234.2,286.2,232.7,205.9,204.2,225.2,254.3,207.7,192.3,182.9,271.9,220.5,188.4,171.4,154.2,176.4,211.8
Switzerland,16532.6,17191.9,13778.3,11977.5,11151,9871.1,7281.1,5977.3,6801.9,6059.1,5075,4269.8,3331.7,2479.6,2338.6,2313.5,2628.3,1864.6,1546.9,1738.4,848.8,459,411.7,364.4
United Kingdom,20205.7,19037.2,15250.8,11433.6,13785,14642.7,10966.5,10112.4,10424.5,11170.5,10704.1,8311.3,8218.3,7588,7825.9,7977.5,5802.8,4794.7,3379.4,3068.4,2527.8,2078.2,2049.4,1722.7
European Union (EU-27),73488.5,59570.9,52577.5,39781.8,33460.8,35301.7,29513.8,27207.5,24597.9,18881.6,17460.6,16278,15350.5,13277.1,11676,13144,10634.6,8469,7111.7,6695.5,6065.5,5204,4264,4125.7
North America,55487.9,66999.9,52725.4,36505.2,31997.8,30432.2,22723.6,23277.5,24194.7,23624.7,21884.3,20382.9,17873.2,17221,14619.7,16513.5,15294.6,14867.7,11142.9,9651.9,8090.1,7415.6,7074.4,7184.5
United States Of America,51122.8,61936.7,48497.9,33426.4,29277.2,28321.4,21036.2,21972,22929.1,22238,20624.1,19208.2,16713.3,16081.2,13768.5,15715.9,14615.3,14335.1,10718,9312.5,7829.8,7158.4,6829.1,6935.3
Canada,4364.2,5062.9,4225.5,3078.3,2700.3,2108.3,1628.8,1302.5,1257.9,1385.9,1260,1172.1,1157.8,1138.3,849.3,793.1,675,532,424.8,339.3,260.1,241.4,238.1,249
Oceania,47784.4,47372.2,38134,30314.5,30087.7,26155.3,23434.4,17381.2,15932.6,15825.8,14634.6,14041,12145.3,10383.1,8731.6,7447.6,5565.9,4601.4,3965.3,3398.4,2616.5,2279.9,1746.4,1654.5
Australia,40695.5,40142.6,32741.7,25817.1,25016.2,21924.6,19356.3,14291.5,12949.5,13080.1,11896.1,11454.5,10279.6,8853.9,7279.8,6244.5,4662.8,3901.8,3366.2,2894.6,2234.9,1840.1,1486.9,1412.3
Marshall Islands,1183.8,1027.3,608.3,650.4,738.2,493.8,437.1,529.3,539.6,454.1,399.4,398.7,402.3,305.5,na,52.7,40.6,25.6,1.4,3.8,1,1.6,0.5,na
New Zealand,4413,4784.7,3825,2953.3,2977.1,2901.7,2579.3,1886.4,1775.5,1542.8,1299.7,1228.2,959.1,832.5,825.4,835.8,730.1,579.7,542.8,451.7,339.5,330.5,210,199.8
Papua New Guinea,658.1,550.7,385.4,415.5,491.5,423.8,372.3,375.6,376.4,487.4,829.7,574.5,113.9,101,71.6,55.4,40.3,30,17.3,15.2,9.7,8.9,8.7,15.6
South And Central America And The Caribbean,18394.1,19946.9,20842.3,13543.6,12155.7,9617.8,8826.5,7420.5,8451.8,7990.1,7032.6,5442.3,4996.4,4283.7,3323.2,4023.6,3861.1,3008.1,2334.7,1973.9,1489.6,1142.7,979.7,889.6
Bermuda,1895.6,1883.1,1762.8,1172.7,1269.7,989.4,1067.4,1043.9,1242.9,1044.8,1068.7,560.3,619.6,368.6,316.1,369.7,435.4,414.6,365.3,259.9,233,205.1,249.1,222.7
Brazil,3901.4,4198.7,5679.5,2847.4,2672.1,1855.4,1074.1,1567.8,2104,2596.7,2274.4,1435.1,1227,516.7,273.3,162.2,155,116.4,77.4,55.8,22,57.8,54.2,na
British Virgin Islands,1558.7,1581.2,2041.9,1852.3,1714.3,1581.6,1239.4,969.3,1402.3,1119.8,968.6,844.2,750.7,807.4,579.4,668.5,592.7,389.8,309.2,283.6,155.6,114.6,92,92.7
Cayman Islands,3702.3,3804.3,3822.7,3109.6,2313.7,2090.8,2715,1874.6,1737.4,1369.6,1094.3,784.8,643.5,827.4,732.9,1147,1230.7,837.6,591.9,431.3,154.6,148.8,102.5,96.5
Chile,934.1,826,683.2,465,456.7,354.8,269.1,251.2,387.4,366.2,378.4,232.2,160.8,133.7,97.9,113.3,15,17.3,10,2.8,7.2,3.6,4.1,8.2
Mexico,2686.4,3653,3086.8,1763.4,1677.4,887.2,608.9,311.6,287.9,289.7,202.8,237.7,411.2,408.6,433.4,538.1,476.7,509.8,388.3,390.4,384.8,235.7,264.3,249.3
Panama,481.4,417.6,356.2,365.6,403.5,419.1,446.3,278,354.6,318.8,317.5,316.5,231.7,323.2,165.2,184.2,247.5,156.2,119.5,115.9,89,94.8,61.5,76.8
Peru,324.6,329.5,424.7,130.1,115,104.2,92.3,75.8,99.9,98.9,66.5,77.3,33.1,17.5,6.8,5.4,1.8,1.6,na,0.9,0.4,na,na,-
Africa,6542.8,6590.8,6127.6,3836.1,4464.7,3906.1,3679.4,3727.9,7472.1,6000.7,4681,3681.9,3422.2,2934.6,2613.8,2607,1323.8,1339,807.4,656.6,483.3,424.4,271.9,291
Egypt,739.7,713.8,626.4,255.1,302.4,267.8,166.5,180.3,227.6,211.5,246.6,186.7,158.4,117.1,106.8,155.4,92.5,93.8,34.4,34,26,30.3,25.7,35.9
Liberia,350.3,169.8,245.5,246.7,187.1,199.5,296.8,247.7,212.4,170.4,129.7,121.9,113.1,103.3,127.7,143.4,93.9,34.2,10.4,32.2,32,33.6,24,41.2
Mauritius,443.2,441.3,374.3,278.6,410.6,457.3,276.6,397.8,3831.2,1834.6,1451.2,1234,1303.5,1280.7,816.7,734.2,307.2,237.3,172.6,89,50,91.2,32.5,45.5
Nigeria,821.9,815.1,867,435.3,506.6,417.7,353.5,301.6,375.1,457.6,376.4,268.2,195.5,185.3,174,208,102,88.1,54,7.8,7.1,23.4,1.7,1.6
South Africa,1299.6,1270.5,1017.6,678.2,734.9,756.7,602.9,485.6,576.9,610.5,642.4,437.7,410,384.6,402.1,522.9,443.4,338.3,346.4,312.4,256.3,167.2,133.6,117.4
,,,,,,,,,,,,,,,,,,,,,,,,
Definitions and Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,
Figures presented in this table are compiled from the International Trade in Services (TIS) Survey.  Please refer to Technical Notes (https://www.singstat.gov.sg/-/media/files/find_data/trade-and-investment/notesinttrade.pdf) for more information on trade in services data sources and compilation methodology.,,,,,,,,,,,,,,,,,,,,,,,,
ASEAN (Million Dollars):,,,,,,,,,,,,,,,,,,,,,,,,
"ASEAN includes Brunei Darussalam, Cambodia, Indonesia, Lao People's Democratic Republic, Malaysia, Myanmar, Philippines, Thailand and Vietnam.",,,,,,,,,,,,,,,,,,,,,,,,
European Union (EU-27) (Million Dollars):,,,,,,,,,,,,,,,,,,,,,,,,
"The European Union (EU-27) comprises Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Rep, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovak Rep, Slovenia, Spain and Sweden.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Exports of Services:,,,,,,,,,,,,,,,,,,,,,,,,
"Consist of transactions where services are provided from Singapore to overseas trading partners. For example, a Singapore-based shipping company providing freight services to an overseas client, transporting the client’s goods from country A to country B.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 05/01/2026,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,
