,,,,,,,
Theme: Trade & Investment,,,,,,,
Subject: Trade in Services (TIS),,,,,,,
Topic: Import of Services,,,,,,,
"Table Title: Imports Of Services By Industry And Major Trading Partner, Annual",,,,,,,
,,,,,,,
Data last updated: 31/07/2025,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,
,,,,,,,
,,,,,,,Million Dollars
  Asia,36254.8,37356.8,29796.4,21627.5,21994.2,21620.4,16506.1
    Hong Kong,5452.7,6582.6,5999.4,3204.9,3363.3,3412.2,3172.3
    India,1385.5,1461.5,1151.7,871.9,789.8,761.6,643
    Indonesia,1034.3,958.5,934.5,816.8,941.8,836.7,700.6
    Japan,6136.7,5951.4,5693.6,4867.8,5031,5428.3,2384.7
    Mainland China,8976.4,7823.8,6069.7,4515.6,4291,3902.4,3505.5
    Malaysia,1270.8,1219.9,1064.1,806.1,865.7,754.6,623.5
    Philippines,693.5,596.6,501.5,520.3,545.5,434.6,364.9
    Republic Of Korea,2635.2,2195.5,1666,1511.7,1547.6,1572.9,1374.2
    Thailand,1219.9,1446.2,1226.9,882.8,997,869.4,624.6
    United Arab Emirates,1685.3,2034.1,1815.5,1006,825.6,790.3,717.3
  Europe,16222.5,18697,14634.5,11083.2,11068.6,12207.1,10089.1
    France,726,617.1,460.1,449.4,589.7,676.1,525.6
    Germany,2456.6,2496.9,1970.9,1630.4,1672.4,2100,1643.6
    Netherlands,1308.5,1088.7,1089.4,928.9,887.9,906,579.4
    United Kingdom,2981.5,3413.8,2081.6,1496.6,1554.1,1547.6,1300.3
  Oceania,9444.6,10171.5,8065.7,6216.9,5645.9,5271.7,4316.2
    Australia,1952.2,1944,1900,1649.8,1733.1,1778.4,1682.3
  ASEAN,5051.9,5125.8,4441.7,3632.1,4042.6,3514.9,2880.2
  European Union (EU-27),10042.1,11538,9438.1,7281.3,7188.3,8117.2,6459
Information & Communications Services,70078.6,62016.1,58010,44511.2,36021.6,32323.7,30269.5
  America,30819.6,27768.5,29014.2,na,5890.8,4298,7522
    United States Of America,29266.8,26224.4,na,na,5575.1,4011.6,3450.7
  Asia,27513.6,25353.7,22591.8,17883.7,14779.4,11140.5,9972.5
    Hong Kong,4816.3,4443.7,4701.7,3034.2,2666,1874.2,1652.6
    India,3544,3261.9,2828,2549.7,2097.6,1505.7,1678.7
    Indonesia,690.3,989.8,847.9,608.1,517.3,379.8,356.4
    Japan,na,na,na,na,na,na,2353.2
    Mainland China,4722.1,3974.1,2627.3,2322.3,1250.5,1092.1,976.8
    Malaysia,761.4,759,675.8,605.3,486.5,456.5,419.7
    Philippines,366.5,324,358.3,262.3,225.5,205.4,195.2
    Republic Of Korea,1843.3,1734.1,na,na,1267.4,817.3,728.7
    Thailand,985.9,944.1,718.4,416.9,353,241.9,265.8
    United Arab Emirates,211.6,178.9,101.7,74.8,79.4,98.4,89.4
  Europe,5747.6,5229.6,4402.3,3307.2,13381.3,14389,10038.2
    France,545,401,264.6,187.6,188.8,173.7,165.9
    Germany,532.2,401.7,298.7,245.8,250.3,246.8,231.7
    Netherlands,239.8,195.9,152.1,118.7,na,na,na
    United Kingdom,1180.8,973.7,863.8,741.4,933.7,703.7,555.7
  Oceania,2794.3,2563.3,1495.4,1144.4,1640.9,2076.4,2188.1
    Australia,2479.9,2247.9,1343.1,1032,1469.7,1911.6,2027.3
  ASEAN,3216.2,3459,3148.1,2381.4,1877.5,1487.8,1426.5
  European Union (EU-27),4282.2,3977.5,3097.7,2362.5,na,13474.1,na
Financial & Insurance Services,45596.1,40088.9,35524.7,33039.8,25749.9,23876.9,20935.8
  America,13823.6,13499,10941.8,11284.2,7572.3,8333.3,8127.9
    United States Of America,11187.7,10921.3,8685.2,8521.2,6198.7,6447.9,6284.6
  Asia,14764.3,13026.6,12334.8,11467.6,9574.8,8253.7,7272.5
    Hong Kong,6125.4,5428.2,5585.3,4825.5,4219.7,3775.1,3288.9
    India,2231,2060.3,1609.2,1378.2,960.9,821.1,792.8
    Indonesia,175.4,157.7,150.3,170.2,213.6,153.3,176.8
    Japan,1193,1273.1,1111.2,1414.8,1312.5,944.8,917.5
    Mainland China,1700.8,1348.7,1274.5,1371.3,964.1,792.8,503
    Malaysia,532.2,506.4,465.1,405.5,344.9,345.2,390.3
    Philippines,257.6,234,213.1,225.2,201.1,172.3,169.8
    Republic Of Korea,414.8,502.8,532.2,469.2,372.6,340.9,289.1
    Thailand,326.6,204.8,223.9,260,234.3,276.7,250.3
    United Arab Emirates,811.5,597.7,508.4,379.1,362.2,282.7,176.7
  Europe,14610.4,11521.5,10396.6,8425.9,7164.7,6023.3,4543
    France,588.2,502.3,464.2,475.5,358.5,308.2,305.6
    Germany,598.1,588.9,303.9,253.8,240.9,324.6,282.3
    Netherlands,918.8,625,367.5,343.5,319.5,252.2,162.3
    United Kingdom,5104.8,4091,4215.3,3718.6,2133.7,2182,1969.7
  Oceania,1792.4,1659.8,1471,1491,1106,984.4,748.3
    Australia,1539.2,1321.5,1149.7,1121.3,749.6,707,573.5
  ASEAN,1420.9,1205.7,1119.5,1128.7,1059.9,1022.1,1058.6
  European Union (EU-27),6052,4719.7,3894.2,2843.2,3269.5,2229.7,1073.4
Professional Services,17937.6,15454.6,12822.2,11126.4,10789.9,9505.4,9612.7
  America,3910.1,2885.3,2598.2,2471.7,2516.4,2271.3,1355.1
    United States Of America,3540.1,2474.8,2131.5,1974.6,2087.3,1874.6,905.2
  Asia,9465.9,8572.6,6977.3,5688.7,5582.8,5180.8,3072.1
    Hong Kong,882.9,368.1,356.4,324.4,356.8,395.5,343.4
    India,2951.9,2918.5,2359.6,1845.8,1973.5,1734.7,706.7
    Indonesia,223.5,266.9,184,157.1,154.1,133.6,126
    Japan,549.2,541.8,417.4,355.5,357.8,391,268.5
    Mainland China,2474.1,2191.2,1874.1,1411.8,1232.2,999.2,394
    Malaysia,698.5,867.6,507,417.5,358.8,450.4,441.3
    Philippines,391.2,441.7,309.9,338.4,320.1,296.2,100.9
    Republic Of Korea,236.9,223.2,258.7,232.5,218.3,223.2,113.6
    Thailand,337,202.1,162.1,173.7,159.2,122.9,106.1
    United Arab Emirates,147.4,97.5,120.6,79.8,57.9,92.7,168.8
  Europe,3907.2,3379.3,2655,2489.7,2061.4,1639.8,4671.1
    France,271.4,229.6,164.6,159.6,189,255.1,165
    Germany,395.9,257.5,320.6,289.4,230.2,125,118.2
    Netherlands,192.9,227.6,215.3,152.5,140.2,162.5,103.5
    United Kingdom,1527,1304.2,825.9,942.4,647.8,405.4,354.6
  Oceania,566.6,505.8,436.5,397.2,525.7,324.8,413.9
    Australia,533.5,473,413.7,373.6,399.8,298.1,316
  ASEAN,1915.3,1957.8,1287.7,1210.8,1138.8,1113.1,905.3
  European Union (EU-27),2023.9,1739.2,1610.2,1360.8,1278.2,1132.7,na
Admin & Support Services,1360.2,1074.1,1068.9,1051.4,4343.5,9156.8,14184.7
  America,360.7,258,214.8,229.1,na,6644,12271.8
    United States Of America,229.1,183.5,178.5,180.6,164.4,3605.3,4948.4
  Asia,486.2,372.7,355,297.1,320.3,975.9,954.7
    Hong Kong,89.7,na,57,48.2,54.9,39.4,39.7
    India,59.2,40.3,34.5,36,30.5,131.6,134.4
    Indonesia,16.6,13.5,12.8,14,9.1,14.2,6.8
    Japan,49.6,na,17.2,20.4,16.9,47.1,57.8
    Mainland China,69.6,62,63.7,65.2,75.4,121.3,106.9
    Malaysia,44.7,32.6,31,25,27.2,na,155
    Philippines,24,38.8,29.8,23.5,11.2,12.5,13.6
    Republic Of Korea,25.2,12.5,12.8,11.5,22.2,85,78.1
    Thailand,36.5,32.7,19,21.1,18,108.9,na
    United Arab Emirates,18.9,20.5,15.3,14.3,23,20.1,8.3
  Europe,453,401.6,451.2,461.8,783.8,1439.8,877.5
    France,14.2,na,15.2,15,14.5,16.1,16.8
    Germany,9.9,6,5.1,10.3,10.4,112.5,226.2
    Netherlands,46.9,33.2,na,na,na,21,44.7
    United Kingdom,209.9,na,226,180.7,199.9,269.8,264.9
  Oceania,36.7,29.9,25.3,20.4,41.9,74.1,78.9
    Australia,36,28.2,25.1,20,24.7,44.8,56.4
  ASEAN,131.7,127.2,107.1,93.7,81.2,419.1,317.6
  European Union (EU-27),154.6,140.7,136.1,178.1,484.9,1011.5,492.5
Others,2026.5,1503.1,1074.2,1102.1,1362.2,1119.3,986.3
  America,762.1,460.5,262.4,258.7,351,284.5,na
    United States Of America,735.6,398.1,251.9,247,325.7,273.1,na
  Asia,608.4,458.4,335.3,341.1,392.5,295.8,236.7
    Hong Kong,158.9,124.9,78.5,97.7,89.1,71.8,57.6
    India,48.5,29.7,16,15.7,33.6,31.5,18
    Indonesia,20.2,12.9,14.9,8.4,12.9,9.9,9
    Japan,111.8,133.1,52.4,55,46,na,16.4
    Mainland China,89.2,39.9,45.1,na,54.1,33.3,35
    Malaysia,69.7,32.5,42.3,44.9,50.8,47.6,30.6
    Philippines,18.4,10.7,18.6,5.1,7.3,5.2,3
    Republic Of Korea,27.7,13.8,13,18.6,21.4,6.4,5.9
    Thailand,22.3,28.2,25.4,31.6,38.7,39.6,32.6
    United Arab Emirates,3.6,3.3,3.8,1.7,4.9,1.1,3.1
  Europe,529.2,477.6,377.1,391.1,500.2,424.7,391.8
    France,41.8,31.7,20.3,30.9,43.9,30.1,22.3
    Germany,32.3,15.5,17.5,18.3,19.9,13.3,11.8
    Netherlands,na,na,74.6,100.3,184.8,173.2,171.9
    United Kingdom,194.7,170.6,146.3,na,137.8,115.1,na
  Oceania,107.8,94.1,93.2,104.1,110.3,108.5,96.2
    Australia,102.3,92.1,91.2,98,104.3,101.8,93.9
  ASEAN,142.9,93.3,113.1,101.3,124.3,112.9,86
  European Union (EU-27),247.2,251.2,189.2,194.6,na,252.1,232.6
,,,,,,,
Definitions and Footnotes:,,,,,,,
Figures presented in this table are compiled from the International Trade in Services (TIS) Survey. Please refer to Technical Notes (https://www.singstat.gov.sg/-/media/files/find_data/trade-and-investment/notesinttrade.pdf) for more information on trade in services data sources and compilation methodology.,,,,,,,
Manufacturing (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Manufacturing = 10 to 32,,,,,,,
Manufacturing -> ASEAN (Million Dollars):,,,,,,,
"ASEAN includes Brunei Darussalam, Cambodia, Indonesia, Lao People's Democratic Republic, Malaysia, Myanmar, Philippines, Thailand and Vietnam.",,,,,,,
Manufacturing -> European Union (EU-27) (Million Dollars):,,,,,,,
"The European Union (EU-27) comprises Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Rep, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovak Rep, Slovenia, Spain and Sweden.",,,,,,,
Construction (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Construction = 40 to 43,,,,,,,
Construction -> ASEAN (Million Dollars):,,,,,,,
"ASEAN includes Brunei Darussalam, Cambodia, Indonesia, Lao People's Democratic Republic, Malaysia, Myanmar, Philippines, Thailand and Vietnam.",,,,,,,
Construction -> European Union (EU-27) (Million Dollars):,,,,,,,
"The European Union (EU-27) comprises Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Rep, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovak Rep, Slovenia, Spain and Sweden.",,,,,,,
Wholesale Trade (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Wholesale Trade = 46,,,,,,,
Wholesale Trade -> ASEAN (Million Dollars):,,,,,,,
"ASEAN includes Brunei Darussalam, Cambodia, Indonesia, Lao People's Democratic Republic, Malaysia, Myanmar, Philippines, Thailand and Vietnam.",,,,,,,
Wholesale Trade -> European Union (EU-27) (Million Dollars):,,,,,,,
"The European Union (EU-27) comprises Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Rep, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovak Rep, Slovenia, Spain and Sweden.",,,,,,,
Transport & Storage Services (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Transport & Storage Services = 49 to 53,,,,,,,
Transport & Storage Services -> ASEAN (Million Dollars):,,,,,,,
"ASEAN includes Brunei Darussalam, Cambodia, Indonesia, Lao People's Democratic Republic, Malaysia, Myanmar, Philippines, Thailand and Vietnam.",,,,,,,
Transport & Storage Services -> European Union (EU-27) (Million Dollars):,,,,,,,
"The European Union (EU-27) comprises Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Rep, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovak Rep, Slovenia, Spain and Sweden.",,,,,,,
Information & Communications Services (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Information & Communications Services= 58 to 63,,,,,,,
Information & Communications Services -> ASEAN (Million Dollars):,,,,,,,
"ASEAN includes Brunei Darussalam, Cambodia, Indonesia, Lao People's Democratic Republic, Malaysia, Myanmar, Philippines, Thailand and Vietnam.",,,,,,,
Information & Communications Services -> European Union (EU-27) (Million Dollars):,,,,,,,
"The European Union (EU-27) comprises Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Rep, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovak Rep, Slovenia, Spain and Sweden.",,,,,,,
Financial & Insurance Services (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Financial & Insurance Services = 64 to 66,,,,,,,
Financial & Insurance Services -> ASEAN (Million Dollars):,,,,,,,
"ASEAN includes Brunei Darussalam, Cambodia, Indonesia, Lao People's Democratic Republic, Malaysia, Myanmar, Philippines, Thailand and Vietnam.",,,,,,,
Financial & Insurance Services -> European Union (EU-27) (Million Dollars):,,,,,,,
"The European Union (EU-27) comprises Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Rep, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovak Rep, Slovenia, Spain and Sweden.",,,,,,,
Professional Services (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Professional Services = 69 to 75,,,,,,,
Professional Services -> ASEAN (Million Dollars):,,,,,,,
"ASEAN includes Brunei Darussalam, Cambodia, Indonesia, Lao People's Democratic Republic, Malaysia, Myanmar, Philippines, Thailand and Vietnam.",,,,,,,
Professional Services -> European Union (EU-27) (Million Dollars):,,,,,,,
"The European Union (EU-27) comprises Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Rep, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovak Rep, Slovenia, Spain and Sweden.",,,,,,,
Admin & Support Services (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Admin & Support Services = 77 to 82,,,,,,,
Admin & Support Services -> ASEAN (Million Dollars):,,,,,,,
"ASEAN includes Brunei Darussalam, Cambodia, Indonesia, Lao People's Democratic Republic, Malaysia, Myanmar, Philippines, Thailand and Vietnam.",,,,,,,
Admin & Support Services -> European Union (EU-27) (Million Dollars):,,,,,,,
"The European Union (EU-27) comprises Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Rep, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovak Rep, Slovenia, Spain and Sweden.",,,,,,,
Others (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Others = All remaining SSICs,,,,,,,
Others -> ASEAN (Million Dollars):,,,,,,,
"ASEAN includes Brunei Darussalam, Cambodia, Indonesia, Lao People's Democratic Republic, Malaysia, Myanmar, Philippines, Thailand and Vietnam.",,,,,,,
Others -> European Union (EU-27) (Million Dollars):,,,,,,,
"The European Union (EU-27) comprises Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Rep, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovak Rep, Slovenia, Spain and Sweden.",,,,,,,
,,,,,,,
Imports of Services:,,,,,,,
"Consist of transactions where services are provided from overseas trading partners to Singapore. For example, an overseas law firm providing legal advice by phone or email to a Singapore-based company.",,,,,,,
,,,,,,,
Notation:,,,,,,,
na   not available or not applicable,,,,,,,
nec  not elsewhere classified,,,,,,,
nes  not elsewhere specified,,,,,,,
 -     nil or negligible or not significant,,,,,,,
Notes,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,
,,,,,,,
Generated by: SingStat Table Builder,,,,,,,
Date generated: 05/01/2026,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,
