,,,,,,,,,,,,,,
Theme: Trade & Investment,,,,,,,,,,,,,,
Subject: Trade in Services (TIS),,,,,,,,,,,,,,
Topic: International Trade in Services (TIS),,,,,,,,,,,,,,
"Table Title: Trade In Services By Detailed Services Category, Annual",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data last updated: 24/02/2025,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Million Dollars
"      Technical, Trade-Related And Other Business Services",35751.2,34364.3,29940.7,27803.2,24026.6,25065.4,19992.1,16724.7,15994.8,17494.6,16744.2,13439.1,13411.6,11664.6
        Architectural,551.8,516.4,308.5,311.6,350.9,385.9,375.5,379.4,351.3,382,389.6,312.5,354.1,302
        Engineering And Technical,12668.6,12151.8,10684.1,11323.5,8272.3,7790.3,5057.7,4294.1,4810.5,5183.1,6021,5059.4,4195.5,3397.2
        Operating Leasing,6722.5,6497.2,5815.7,5455.3,5273.2,5164.9,4887.7,4291.4,5116.8,5883.3,4902.5,3738.2,3117.9,2719.4
        Trade-Related,13495.7,12907.1,11489.4,9180.3,8851,10402.5,8639.3,6852.3,4970.5,5469.1,4899.9,3928.1,5489.9,4808.3
        Others,2312.6,2291.8,1643,1532.5,1279.2,1321.8,1031.9,907.5,745.7,577.1,531.2,400.9,254.2,437.7
  Imports Of Services,469181.5,438107.8,409062,332601.1,290030.5,285608.4,274129.6,251785.8,219273.5,222299.6,211177.6,187335.7,166097.1,148214.8
    Manufacturing Services On Physical Inputs Owned By Others,9865.1,9794.7,11700.4,10495.5,9643.1,8471.2,8133.9,8766.5,7913.7,8341.2,7846.8,6500.5,5349.2,4486.9
    Maintenance And Repair Services,1891,1870.6,1584,1243.5,1241.3,1546.4,1333.6,1109.6,1207.2,929.3,880.7,845.2,837,872.3
    Transport,162013.4,149528.1,154037.5,118341.3,97975.4,87692.9,86422.8,70386.8,60066.9,65611.6,57822.3,49280.7,44508.4,41789.4
      Sea Transport,126407.9,117542.1,117421.4,92708.7,74394.7,70829.3,67941.2,54210.9,46945.9,51484,45453.7,38664.8,34664.2,31144.8
        Freight,86736.6,80936.3,81427.6,60520.1,46935.6,45634.6,43316.6,36091.2,29597.9,33840,28244.9,23384.3,20647.2,20028.9
        Passenger And Others,39671.3,36605.8,35993.8,32188.6,27459.1,25194.7,24624.6,18119.7,17348,17644,17208.8,15280.5,14017,11115.9
      Air Transport,30271.2,26683.1,33088.8,22886.9,20718,15074.2,17291.6,14848.3,11738.1,12255,10601.1,9212.6,8628.1,9342.6
      Other Modes Of Transport,4812.3,4716.4,2793.7,2090.2,2066.3,1011.2,442.3,704.1,772.2,1321.5,1271.3,932.7,795.2,861.4
      Postal And Courier Services,522,586.5,733.6,655.5,796.4,778.2,747.7,623.5,610.7,551.1,496.2,470.6,420.9,440.6
    Travel,41790.5,34762.6,21532.4,5897.8,9711.4,38098.1,35738.2,34308.2,33063.4,32524.9,32368.7,30540.3,28915.8,26941.6
    Insurance,10605.2,9238.2,10755.6,7856.9,9124.8,7480.9,6664.8,5572.4,6032.9,4376.7,3609.4,4257.3,3498.3,3318.6
    Government Goods And Services,383.7,335.7,327,299.9,288.9,315.6,311.1,293.4,310.3,274.7,295.1,287,256.8,260.8
    Construction,1010.4,900.2,797.6,791.9,678.7,648.1,748.8,519,514.1,466.9,497.6,679.8,648.8,661.4
    Financial,23225.3,20671.3,16641.2,14914.9,13777.4,10250.8,9140.6,7848.2,6458.8,6194,5502,4647.2,4034.2,3915.1
      Explicitly Charged And Other Financial Services,22700,20159.6,16125,14427.1,13475.6,9822.3,8792.3,7567.6,6062.4,5930.9,5244,4412.4,3793.3,3706.9
      Financial Intermediation Services Indirectly Measured (FISIM),525.3,511.7,516.2,487.8,301.8,428.5,348.3,280.6,396.4,263.1,258,234.8,240.9,208.2
"    Telecommunications, Computer & Information",43523.1,41563.9,34991.9,35848.9,31135.5,22683.7,19516.5,20531.7,17374.6,14932.2,20311.2,11792.6,9515.9,7186.1
      Telecommunications Services,3995.9,3971.8,3638.3,3213.6,3023.7,2276.4,2042.1,2058.3,2047,1791.8,1868.8,1945.3,1893.9,1942
      Computer Services,33690.5,32043.2,29328.8,30938.6,26522.2,19251.2,16505.1,17766,14559.6,12370.4,17829.8,9380.5,7225.2,4872.3
      Information Services,5836.7,5548.9,2024.8,1696.7,1589.6,1156.1,969.3,707.4,768,770,612.6,466.8,396.8,371.8
    Charges For The Use Of Intellectual Property,24062.5,23205.6,22829.8,22070.3,21108.1,21028.1,23275,21809.8,21622.5,26672,26452.9,28769.9,28874.5,25590.9
      Franchises And Trademarks Licensing Fees,6940.2,6719,6950.6,5364,5744.5,6359.3,6172.6,6246.6,6226.2,6146.5,3641.3,2933.6,2249.8,1543.2
      Licences For The Use Of Outcomes Of Research And Development,9499.2,9091.7,8775,9683.1,9167.9,8527.2,8918.9,7948.5,8900.1,13393.8,15235.2,17892.5,18591.7,17448.6
      Licenses To Reproduce And/Or Distribute Audio-Visual And Related Products,259.6,259,409.7,522,357.9,611.9,657.1,698.9,604.8,368.3,364,366.7,333.8,272.8
      Licenses To Reproduce And/Or Distribute Computer Software And Other IP Charges,7363.5,7135.9,6694.5,6501.2,5837.8,5529.7,7526.4,6915.8,5891.4,6763.4,7212.4,7577.1,7699.2,6326.3
"    Personal, Cultural And Recreational",1819.6,1764.6,1739.8,1336.2,1059.1,1058.9,926,599,542.3,685.2,625.3,584.1,557.9,577
      Audio-Visual And Related Services And Others,770.1,713.3,784,482.4,441,370.9,350.2,322.6,278,413.2,402.8,381.2,375,422.3
      Health Services,958.2,940.3,767.6,682.8,457.7,523.2,445.6,163,168.2,176.8,124.1,102.4,82.4,68.2
      Education Services,91.3,111,188.2,171,160.4,164.8,130.2,113.4,96.1,95.2,98.4,100.5,100.5,86.5
    Other Business Services,148991.7,144472.3,132124.8,113504,94286.8,86333.7,81918.3,80041.2,64166.8,61290.9,54965.6,49151.1,39100.3,32614.7
      Research And Development,30345.1,29120.3,27632.1,25657.8,21688.4,18227.1,19070,22423.8,14547.3,17126.5,10651.6,11677.6,5949.2,4856.3
      Professional And Management Consulting,83494.4,81527.4,68647.3,58249,48540.1,45578.9,37832.4,33015.9,26878.7,23205.1,21326.4,19374.9,18664.1,16289.1
        Legal,1009.5,983.7,725.6,719.2,607.1,456.4,415,360.6,336.7,315.4,298.7,262.6,663.9,234.7
        Accounting,1180.6,1154.3,951.5,624,634.1,556,486.8,417.4,392,331,290.8,260.1,270.8,222.2
        Advertising And Market Research,30918.1,29915.6,24135.3,20429.3,15587.3,13898.5,10265.5,8057.1,4258.7,3808.8,3418.6,3101.4,3057,2390.5
        Business Management,50386.2,49473.8,42834.9,36476.5,31711.6,30668,26665.1,24180.8,21891.3,18749.9,17318.3,15750.8,14672.4,13441.7
"      Technical, Trade-Related And Other Business Services",35152.2,33824.6,35845.4,29597.2,24058.3,22527.7,25015.9,24601.5,22740.8,20959.3,22987.6,18098.6,14487,11469.3
        Architectural,57.8,56.2,59.6,62.4,57.5,52.1,66.8,56.1,72,46.9,56.9,78.8,84.6,62.5
        Engineering And Technical,7910,7639.7,6954.3,6057.4,5187.6,4438.6,3347.7,3208.7,3323.7,3286.9,3336.6,2755.6,2340.1,1966.9
        Operating Leasing,7291.2,7091.1,8417.1,4983.7,3736,4701.4,5396.8,5549.6,4843.3,5177.4,7581.7,4437.6,3109.3,1635.9
        Trade-Related,19117.6,18268.5,19779.9,17951,14728.9,12960.6,15837.2,15394.7,14106.6,12097,11747.5,10573.2,8792.7,7530
        Others,775.6,769.1,634.5,542.7,348.3,375,367.4,392.4,395.2,351.1,264.9,253.4,160.3,274
,,,,,,,,,,,,,,
Definitions and Footnotes:,,,,,,,,,,,,,,
Detailed Services Category are based on the Extended Balance of Payments Services Classification (EBOPS).  Please refer to Technical Notes (https://www.singstat.gov.sg/-/media/files/find_data/trade-and-investment/notesinttrade.pdf) for more information on trade in services data sources and compilation methodology.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Exports of Services:,,,,,,,,,,,,,,
"Consist of transactions where services are provided from Singapore to overseas trading partners. For example, a Singapore-based shipping company providing freight services to an overseas client, transporting the client’s goods from country A to country B.",,,,,,,,,,,,,,
Imports of Services:,,,,,,,,,,,,,,
"Consist of transactions where services are provided from overseas trading partners to Singapore. For example, an overseas law firm providing legal advice by phone or email to a Singapore-based company.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,
Date generated: 05/01/2026,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,
