,,,,,,,
Theme: Trade & Investment,,,,,,,
Subject: Trade in Services (TIS),,,,,,,
Topic: Export of Services,,,,,,,
"Table Title: Exports Of Services By Industry And Major Trading Partner, Annual",,,,,,,
,,,,,,,
Data last updated: 31/07/2025,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,
,,,,,,,
,,,,,,,Million Dollars
    India,4555.4,5065.9,3938.2,2882.7,2823.9,2584.9,2431.7
    Indonesia,2840.6,2535.8,1578,1460.5,2021,1847.6,1690.8
    Japan,7256.2,9870.9,7668.5,4971.5,4894.9,4662.1,3370.8
    Mainland China,15124.8,18922.6,16147.7,10649.5,11881,13525.7,10269.3
    Malaysia,2805.1,2690.3,2031.8,1675.4,1782,1608.9,1472.5
    Philippines,1581.1,1299.6,879.1,750.5,814.6,757.8,665.3
    Republic Of Korea,2731.2,3106.3,2325.1,1786.9,1969.6,1883.5,1370.5
    Thailand,2171,2799.8,2158.7,1460.6,1702,1597.4,1340.7
    United Arab Emirates,3978,3362.3,2372.8,1516,1380.6,1009.2,948.3
  Europe,29321.5,36605.1,27857.1,18386.2,18943,16953.2,12786.5
    France,1275.3,1508.4,1183,722.8,838,521.7,554.4
    Germany,2957.9,4260.1,3174.4,1900,2018.4,1771.9,1096.2
    Netherlands,2831,4282.4,3366.4,1888.1,1594.6,1461.8,784.3
    United Kingdom,5117.3,6942,5211.1,3065.4,3546.4,2728.4,2112.8
  Oceania,11081.8,13193.6,8800.1,6907.9,8982.3,7814.8,7470.9
    Australia,7745.2,9565.1,6501.9,4975.9,6763.2,5923.8,5816.6
  ASEAN,11626.4,12135.2,8695.1,6797.6,7895.8,7261,6569.7
  European Union (EU-27),13588.7,17351.1,13377.9,8753.7,8458.6,7562.2,5541.3
Information & Communications Services,101782.5,94332.3,80563.8,60756.7,50500.4,46220,34866.5
  America,10707.3,9760.5,7884.3,6079.3,4421.4,3955.7,2678.3
    United States Of America,8688.5,7550.4,6133.7,5042.5,3725.8,3726.6,2580.5
  Asia,51296.7,53342,47003.5,35500.4,29289.7,24023.9,19533.1
    Hong Kong,6455.8,4057.1,3665.5,4499,1958.2,1495,1056.9
    India,1468.4,1470.5,1126.7,946.9,839.5,670.3,596.2
    Indonesia,1555.2,2491.9,2025.9,1320.6,1431.3,1134.5,974.9
    Japan,na,na,na,na,na,na,na
    Mainland China,4437.8,4731.6,4770.5,2158.1,2749.6,2281.4,1868.9
    Malaysia,2179.6,4520.4,3906.2,3007.6,2803.9,2341.5,1896.9
    Philippines,1165.9,1501.6,1209.9,749.6,754.2,574.6,449.9
    Republic Of Korea,1616.6,1078.2,721.9,543.5,495.8,426.9,411.4
    Thailand,2336.4,2817.5,2900.9,1737.3,1114.6,815.4,581.6
    United Arab Emirates,463.5,na,215,151.8,84.8,65.4,94.5
  Europe,14067.3,5457.4,4942,3383.9,3239.4,6797.4,3204.1
    France,376.2,354.2,251.8,181.6,191,192.8,176.9
    Germany,787.1,624.4,256.4,178.3,225.3,205.9,182.9
    Netherlands,591.6,435.6,350.3,299.5,418.3,432.4,364.3
    United Kingdom,2842.9,1051.3,816.7,896.9,859.9,857.9,533.8
  Oceania,na,na,na,na,na,na,na
    Australia,na,na,na,na,na,na,na
  ASEAN,8834.9,14600.3,12943,9080.3,8039.1,6312.7,5080.1
  European Union (EU-27),10573.3,3965.8,3775.7,2236.2,2119.3,5689.8,1984.1
Financial & Insurance Services,76334,65671.7,62598.6,57837.4,52304,49029.9,41296.1
  America,14924.9,14135.6,13844.8,12291.7,10157.6,9426.1,9735.3
    United States Of America,7196.6,6971.6,6361.4,5650.4,4744.4,4368.8,4168.5
  Asia,29307,25520.3,22966.5,22491.6,22109,20816.1,16677.3
    Hong Kong,5866,5470.7,5233.5,5711.7,4607.4,4592.8,3351.8
    India,1913.1,1695.6,1464.8,1323.9,1352,1279.1,1054.4
    Indonesia,1699.2,1529.8,1322.5,1365,1838,1712.4,1641.9
    Japan,4253.2,3091.9,2653.5,2458.9,2826.8,2561.5,2039.5
    Mainland China,4133.1,4186.4,4052.7,3924.2,3733,3322.1,2700.5
    Malaysia,1953.1,1734.7,1486.3,1477.8,1439.4,1511.4,1193.1
    Philippines,1106.2,984.9,831.6,857.7,771.1,675.3,503.4
    Republic Of Korea,1211,1021.9,989.5,870.6,1030.5,1009.4,821.5
    Thailand,1390,1227.9,1047.3,1039.4,1130.9,1124.5,857.1
    United Arab Emirates,1142.9,861,722.8,559.6,576.6,464.4,303.8
  Europe,24076.6,18539,19188.9,17223.9,14202.7,13250.5,10363.9
    France,648.8,560.1,559.7,496.5,825.4,816,687.7
    Germany,440.6,493.3,501.5,478.8,na,na,na
    Netherlands,422.6,291.3,335.6,308.9,545.9,470.7,403.9
    United Kingdom,4997.7,3830.6,4153.8,4088.1,5842,5524.3,4539.7
  Oceania,5668,5290.1,4476.3,3902,3740.4,3463.3,3331.2
    Australia,4906.9,4560.9,3866.7,3273.2,3097.7,2834.4,2369
  ASEAN,7376.2,6428.5,5492,5596.8,5996.8,5761.2,4666.7
  European Union (EU-27),15112.6,12141,12354.4,10745.1,5933.6,5505.7,4165.5
Professional Services,40711.3,32669,29381.4,24418.9,25006.1,20196.1,19943.5
  America,8814.3,6870,7070.8,5017.8,5597.9,4254.1,3394.8
    United States Of America,6773.8,4761.6,3213.4,2236.2,2823.4,2893.4,2586.1
  Asia,13665.9,10326.9,9138.1,8612.7,8547.4,7778.1,7039.2
    Hong Kong,2321.8,1878.8,1452.1,833.6,774.7,794.2,764.5
    India,753.7,614,439.8,444.9,355.3,280.1,297.6
    Indonesia,1147.6,748.6,540.1,484.6,500.4,462,689.6
    Japan,2402,2081.2,2634.1,2846.9,2856.2,2604.2,2197.3
    Mainland China,1681.8,1219.1,1017.7,1070.5,959.5,1057.6,742.9
    Malaysia,1268.7,749.9,730.8,737.3,684.5,580.9,616.7
    Philippines,475.2,339.3,257.1,250.5,236.2,192.3,166.6
    Republic Of Korea,533.9,351.5,302.3,280.5,283.8,240.2,221.8
    Thailand,789,631.7,486.7,498.8,465.5,330.7,305.1
    United Arab Emirates,309.2,178.6,91.5,74.6,85.1,187.4,229.8
  Europe,14441.1,12745.9,10609.9,8654.4,9198.8,6573.7,8066.8
    France,481.2,381.1,360.3,320.3,224.4,239,203.8
    Germany,750.9,517.4,431.9,277.9,325.1,541.7,332
    Netherlands,666.2,418.7,563.4,376,499.5,451.4,721.6
    United Kingdom,3788.6,3398,2155.7,1491.9,1620,1302.9,828.8
  Oceania,3561.3,2513.8,2421.2,2025.6,1517.2,1438.3,1269.9
    Australia,3166.4,2265.4,2215.8,1839.1,1312.4,1167.6,1059.9
  ASEAN,4609.9,3093.5,2526.3,2486.4,2711.3,2165.9,2179.1
  European Union (EU-27),8315.6,7384.9,6507.9,5499.7,5965.5,4634.7,6771.5
Admin & Support Services,7348.4,5831.8,6073.1,5689.1,6296.3,7059,6323.5
  America,912.5,709.1,688.4,719.6,791,936.2,921.3
    United States Of America,504.8,348.3,324.2,321.3,390.2,489.5,533.9
  Asia,3338.3,2705,2674.1,2515.4,3022.7,3533.7,3198.9
    Hong Kong,201.2,108.2,214,214.3,220.9,221,233.2
    India,300,265.3,275,281.8,312.2,339.5,351.9
    Indonesia,127.9,93.4,74.4,77.8,70,104.3,89.3
    Japan,187.1,147.8,129.3,128.2,183.6,328.6,402.9
    Mainland China,670.9,628.4,549.1,539.9,926.4,831.9,576.4
    Malaysia,252.6,139,194.3,189.5,174.7,389.2,329.3
    Philippines,59.2,43.2,33.7,31.2,35.2,35.2,42.3
    Republic Of Korea,114.1,101.3,99.8,91.1,103.4,131.1,103.3
    Thailand,236.7,144.1,195.3,201.5,235.4,306.5,454.7
    United Arab Emirates,70.3,60.5,59,44.4,55.8,52.7,70
  Europe,2429.3,1939.7,2117,1837.7,1877.5,2241.4,1850
    France,271.3,220.2,265.4,215.8,175,173.5,137.5
    Germany,55.8,28.3,25.4,26.2,28.9,48.7,66.7
    Netherlands,136.5,130.1,117.7,135.2,135.5,124,123.7
    United Kingdom,1067.4,616.2,832,450.1,525.2,769.4,681.2
  Oceania,411.7,229.3,207.1,219.7,212.1,198.1,157
    Australia,372.8,185.3,164.2,172.3,117.5,136.5,118.9
  ASEAN,859.1,549.5,638.4,618.6,631.5,970.4,1063.8
  European Union (EU-27),1117.6,979.9,808.2,931.5,814.6,814.3,668.4
Others,1536,1191.2,1076.6,826.6,949.1,857.4,568.9
  America,368.2,414.9,328.8,250,225,176.3,101.8
    United States Of America,350.9,392.4,305.4,242.3,212,166.8,97.5
  Asia,670.3,472.6,421.6,375.7,507.5,436.6,326.8
    Hong Kong,93.8,61.3,49.3,45.8,59.8,54,47
    India,35.2,28.6,23.8,26.7,28,31.3,7.9
    Indonesia,56.3,34.7,30.3,33.4,32.3,34.2,31.4
    Japan,na,na,76.9,48.5,53.1,na,na
    Mainland China,88.3,67.1,59.8,45.5,89,71.1,64.2
    Malaysia,126.5,57.7,44.8,36,48.1,47.6,29.4
    Philippines,57.6,33.7,26.5,21.1,23.3,22.2,14.7
    Republic Of Korea,na,20.2,14.4,28.3,44.2,18.7,na
    Thailand,59.3,48.8,37.1,37.7,67.1,62.4,27.5
    United Arab Emirates,3.3,3.8,3.2,3.6,1.3,na,2.5
  Europe,348.3,211.9,249.1,115.1,157.5,175.8,88.5
    France,46.1,41.5,40.7,34,47.3,53.8,na
    Germany,18.4,7.5,3.9,6.1,na,8.4,12.7
    Netherlands,8,11.5,9.6,9.9,8.5,11.1,6.4
    United Kingdom,130,86.4,128.9,42.6,49.4,na,na
  Oceania,146.6,89.5,75,84.1,na,62.6,45.5
    Australia,138.2,83.3,70.6,78.9,na,59.3,41.6
  ASEAN,336.3,199.1,160.4,148.6,197,188.6,117.7
  European Union (EU-27),na,na,73.6,na,82.3,86.9,na
,,,,,,,
Definitions and Footnotes:,,,,,,,
Figures presented in this table are compiled from the International Trade in Services (TIS) Survey. Please refer to Technical Notes (https://www.singstat.gov.sg/-/media/files/find_data/trade-and-investment/notesinttrade.pdf) for more information on trade in services data sources and compilation methodology.,,,,,,,
Manufacturing (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Manufacturing = 10 to 32,,,,,,,
Manufacturing -> ASEAN (Million Dollars):,,,,,,,
"ASEAN includes Brunei Darussalam, Cambodia, Indonesia, Lao People's Democratic Republic, Malaysia, Myanmar, Philippines, Thailand and Vietnam.",,,,,,,
Manufacturing -> European Union (EU-27) (Million Dollars):,,,,,,,
"The European Union (EU-27) comprises Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Rep, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovak Rep, Slovenia, Spain and Sweden.",,,,,,,
Construction (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Construction = 40 to 43,,,,,,,
Construction -> ASEAN (Million Dollars):,,,,,,,
"ASEAN includes Brunei Darussalam, Cambodia, Indonesia, Lao People's Democratic Republic, Malaysia, Myanmar, Philippines, Thailand and Vietnam.",,,,,,,
Construction -> European Union (EU-27) (Million Dollars):,,,,,,,
"The European Union (EU-27) comprises Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Rep, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovak Rep, Slovenia, Spain and Sweden.",,,,,,,
Wholesale Trade (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Wholesale Trade = 46,,,,,,,
Wholesale Trade -> ASEAN (Million Dollars):,,,,,,,
"ASEAN includes Brunei Darussalam, Cambodia, Indonesia, Lao People's Democratic Republic, Malaysia, Myanmar, Philippines, Thailand and Vietnam.",,,,,,,
Wholesale Trade -> European Union (EU-27) (Million Dollars):,,,,,,,
"The European Union (EU-27) comprises Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Rep, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovak Rep, Slovenia, Spain and Sweden.",,,,,,,
Transport & Storage Services (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Transport & Storage Services = 49 to 53,,,,,,,
Transport & Storage Services -> ASEAN (Million Dollars):,,,,,,,
"ASEAN includes Brunei Darussalam, Cambodia, Indonesia, Lao People's Democratic Republic, Malaysia, Myanmar, Philippines, Thailand and Vietnam.",,,,,,,
Transport & Storage Services -> European Union (EU-27) (Million Dollars):,,,,,,,
"The European Union (EU-27) comprises Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Rep, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovak Rep, Slovenia, Spain and Sweden.",,,,,,,
Information & Communications Services (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Information & Communications Services= 58 to 63,,,,,,,
Information & Communications Services -> ASEAN (Million Dollars):,,,,,,,
"ASEAN includes Brunei Darussalam, Cambodia, Indonesia, Lao People's Democratic Republic, Malaysia, Myanmar, Philippines, Thailand and Vietnam.",,,,,,,
Information & Communications Services -> European Union (EU-27) (Million Dollars):,,,,,,,
"The European Union (EU-27) comprises Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Rep, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovak Rep, Slovenia, Spain and Sweden.",,,,,,,
Financial & Insurance Services (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Financial & Insurance Services = 64 to 66,,,,,,,
Financial & Insurance Services -> ASEAN (Million Dollars):,,,,,,,
"ASEAN includes Brunei Darussalam, Cambodia, Indonesia, Lao People's Democratic Republic, Malaysia, Myanmar, Philippines, Thailand and Vietnam.",,,,,,,
Financial & Insurance Services -> European Union (EU-27) (Million Dollars):,,,,,,,
"The European Union (EU-27) comprises Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Rep, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovak Rep, Slovenia, Spain and Sweden.",,,,,,,
Professional Services (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Professional Services = 69 to 75,,,,,,,
Professional Services -> ASEAN (Million Dollars):,,,,,,,
"ASEAN includes Brunei Darussalam, Cambodia, Indonesia, Lao People's Democratic Republic, Malaysia, Myanmar, Philippines, Thailand and Vietnam.",,,,,,,
Professional Services -> European Union (EU-27) (Million Dollars):,,,,,,,
"The European Union (EU-27) comprises Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Rep, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovak Rep, Slovenia, Spain and Sweden.",,,,,,,
Admin & Support Services (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Admin & Support Services = 77 to 82,,,,,,,
Admin & Support Services -> ASEAN (Million Dollars):,,,,,,,
"ASEAN includes Brunei Darussalam, Cambodia, Indonesia, Lao People's Democratic Republic, Malaysia, Myanmar, Philippines, Thailand and Vietnam.",,,,,,,
Admin & Support Services -> European Union (EU-27) (Million Dollars):,,,,,,,
"The European Union (EU-27) comprises Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Rep, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovak Rep, Slovenia, Spain and Sweden.",,,,,,,
Others (Million Dollars):,,,,,,,
The industries are classified according to Singapore Standard Industrial Classification 2020 (SSIC2020): Others = All remaining SSICs,,,,,,,
Others -> ASEAN (Million Dollars):,,,,,,,
"ASEAN includes Brunei Darussalam, Cambodia, Indonesia, Lao People's Democratic Republic, Malaysia, Myanmar, Philippines, Thailand and Vietnam.",,,,,,,
Others -> European Union (EU-27) (Million Dollars):,,,,,,,
"The European Union (EU-27) comprises Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Rep, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovak Rep, Slovenia, Spain and Sweden.",,,,,,,
,,,,,,,
Exports of Services:,,,,,,,
"Consist of transactions where services are provided from Singapore to overseas trading partners. For example, a Singapore-based shipping company providing freight services to an overseas client, transporting the client’s goods from country A to country B.",,,,,,,
,,,,,,,
Notation:,,,,,,,
na   not available or not applicable,,,,,,,
nec  not elsewhere classified,,,,,,,
nes  not elsewhere specified,,,,,,,
 -     nil or negligible or not significant,,,,,,,
Notes,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,
,,,,,,,
Generated by: SingStat Table Builder,,,,,,,
Date generated: 05/01/2026,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,
